;;;IFT AUTRE;;;;
;bassin viticole;Moyenne;05 centile;25 centile;Médiane;70 centile;95 centile
1;Alsace;0,0;0,0;0,0;0,0;0,0;0,0
2;Beaujolais;0,0;0,0;0,0;0,0;0,0;0,0
3;Bordelais;0,0;0,0;0,0;0,0;0,0;0,0
4;Bourgogne;0,0;0,0;0,0;0,0;0,0;0,0
5;Champagne;0,0;0,0;0,0;0,0;0,0;0,0
6;Charentes;0,0;0,0;0,0;0,0;0,0;0,0
7;Languedoc-Roussillon hors 66;0,0;0,0;0,0;0,0;0,0;0,0
8;Pyrénées-Orientales;0,0;0,0;0,0;0,0;0,0;0,0
9;PACA 83-84;0,0;0,0;0,0;0,0;0,0;0,0
10;Val de Loire;0,0;0,0;0,0;0,0;0,0;0,0
11;Bouches-du-Rhône;0,0;0,0;0,0;0,0;0,0;0,0
12;Dordogne;0,0;0,0;0,0;0,0;0,0;0,0
13;Midi-Pyrénées;0,0;0,0;0,0;0,0;0,0;0,0
;Ensemble;0,0;0,0;0,0;0,0;0,0;0,0
