;;;IFT HERBICIDE;;;;
;bassin viticole;Moyenne;05 centile;25 centile;Médiane;70 centile;95 centile
1;Alsace;0,4;0,0;0,0;0,3;0,5;1,1
2;Beaujolais;1,5;0,0;0,9;1,4;1,8;2,9
3;Bordelais;0,7;0,0;0,3;0,6;0,9;2,2
4;Bourgogne;0,9;0,0;0,0;0,8;1,3;2,7
5;Champagne;1,2;0,0;0,7;1,1;1,7;2,6
6;Charentes;0,8;0,0;0,3;0,7;1,0;2,2
7;Languedoc-Roussillon hors 66;0,6;0,0;0,1;0,4;0,8;2,0
8;Pyrénées-Orientales;0,6;0,0;0,1;0,3;0,8;1,9
9;PACA 83-84;0,3;0,0;0,0;0,3;0,4;1,0
10;Val de Loire;1,2;0,0;0,5;1,0;1,6;2,7
11;Bouches-du-Rhône;0,3;0,0;0,0;0,1;0,3;1,7
12;Dordogne;0,5;0,0;0,1;0,4;0,6;1,5
13;Midi-Pyrénées;0,5;0,0;0,1;0,5;0,7;1,4
;Ensemble;0,7;0,0;0,2;0,5;0,9;2,2
