;;;IFT INSECTICIDE;;;;
;bassin viticole;Moyenne;05 centile;25 centile;Médiane;70 centile;95 centile
1;Alsace;0,8;0,0;0,0;1,0;1,0;2,0
2;Beaujolais;1,0;0,0;0,0;1,0;1,2;2,7
3;Bordelais;1,6;0,0;1,0;1,2;2,1;3,8
4;Bourgogne;0,4;0,0;0,0;0,0;1,0;2,0
5;Champagne;0,9;0,0;0,0;1,0;1,1;3,0
6;Charentes;2,5;0,0;1,6;2,7;3,3;4,5
7;Languedoc-Roussillon hors 66;2,0;0,0;0,0;2,0;3,0;5,3
8;Pyrénées-Orientales;2,4;0,0;1,2;2,3;3,0;5,4
9;PACA 83-84;0,5;0,0;0,0;0,0;0,0;2,3
10;Val de Loire;1,2;0,0;1,0;1,0;1,1;2,7
11;Bouches-du-Rhône;0,3;0,0;0,0;0,0;0,0;2,3
12;Dordogne;2,0;0,0;1,0;2,0;2,8;4,4
13;Midi-Pyrénées;2,3;0,0;1,6;2,2;3,0;4,6
;Ensemble;1,6;0,0;0,0;1,1;2,2;4,4
